all4_GL...1. all4_GL...7.
1 1979.042 -0.3406
2 1979.125 -0.5326
3 1979.208 -0.3553
4 1979.292 -0.4102
5 1979.375 -0.4227
6 1979.458 -0.2959
7 1979.542 -0.3883
8 1979.625 -0.3285
9 1979.708 -0.2851
10 1979.792 -0.2588
11 1979.875 -0.2766
12 1979.958 -0.0913
13 1980.042 -0.2752
14 1980.125 -0.1890
15 1980.208 -0.3230
16 1980.292 -0.2430
17 1980.375 -0.2148
18 1980.458 -0.3610
19 1980.542 -0.3415
20 1980.625 -0.3766
21 1980.708 -0.3701
22 1980.792 -0.3931
23 1980.875 -0.2360
24 1980.958 -0.3267
25 1981.042 -0.0247
26 1981.125 -0.1762
27 1981.208 -0.0840
28 1981.292 -0.1854
29 1981.375 -0.2473
30 1981.458 -0.2402
31 1981.542 -0.2564
32 1981.625 -0.1806
33 1981.708 -0.2935
34 1981.792 -0.3707
35 1981.875 -0.2844
36 1981.958 -0.0939
37 1982.042 -0.4077
38 1982.125 -0.3466
39 1982.208 -0.4659
40 1982.292 -0.3511
41 1982.375 -0.3179
42 1982.458 -0.4120
43 1982.542 -0.3303
44 1982.625 -0.4278
45 1982.708 -0.3733
46 1982.792 -0.4250
47 1982.875 -0.4173
48 1982.958 -0.1187
49 1983.042 -0.0018
50 1983.125 -0.1305
51 1983.208 -0.1456
52 1983.292 -0.2379
53 1983.375 -0.2096
54 1983.458 -0.2768
55 1983.542 -0.2890
56 1983.625 -0.1627
57 1983.708 -0.1012
58 1983.792 -0.2428
59 1983.875 -0.0200
60 1983.958 -0.1212
61 1984.042 -0.0461
62 1984.125 -0.1739
63 1984.208 -0.0859
64 1984.292 -0.2298
65 1984.375 -0.0298
66 1984.458 -0.2861
67 1984.542 -0.2934
68 1984.625 -0.2092
69 1984.708 -0.1753
70 1984.792 -0.2583
71 1984.875 -0.3271
72 1984.958 -0.4487
73 1985.042 -0.1976
74 1985.125 -0.3748
75 1985.208 -0.2000
76 1985.292 -0.2478
