all4_GL...1. all4_GL...2.
1 1979.042 -0.3069
2 1979.125 -0.4737
3 1979.208 -0.2614
4 1979.292 -0.3149
5 1979.375 -0.3469
6 1979.458 -0.2714
7 1979.542 -0.3222
8 1979.625 -0.2472
9 1979.708 -0.1909
10 1979.792 -0.1759
11 1979.875 -0.1484
12 1979.958  0.0513
13 1980.042 -0.1409
14 1980.125 -0.0529
15 1980.208 -0.1729
16 1980.292 -0.1229
17 1980.375 -0.1144
18 1980.458 -0.2329
19 1980.542 -0.1837
20 1980.625 -0.2269
21 1980.708 -0.2319
22 1980.792 -0.2689
23 1980.875 -0.1367
24 1980.958 -0.2264
25 1981.042  0.0606
26 1981.125 -0.0757
27 1981.208 -0.0289
28 1981.292 -0.1494
29 1981.375 -0.1997
30 1981.458 -0.1319
31 1981.542 -0.1412
32 1981.625 -0.1279
33 1981.708 -0.2299
34 1981.792 -0.2944
35 1981.875 -0.2109
36 1981.958 -0.0094
37 1982.042 -0.3424
38 1982.125 -0.2907
39 1982.208 -0.4329
40 1982.292 -0.3012
41 1982.375 -0.2604
42 1982.458 -0.3527
43 1982.542 -0.2987
44 1982.625 -0.3444
45 1982.708 -0.2569
46 1982.792 -0.2812
47 1982.875 -0.2934
48 1982.958 -0.0242
49 1983.042  0.0791
50 1983.125 -0.0152
51 1983.208 -0.0587
52 1983.292 -0.1567
53 1983.375 -0.1159
54 1983.458 -0.1832
55 1983.542 -0.2002
56 1983.625 -0.0927
57 1983.708 -0.0667
58 1983.792 -0.2414
59 1983.875 -0.0684
60 1983.958 -0.2109
61 1984.042 -0.1709
62 1984.125 -0.3009
63 1984.208 -0.1972
64 1984.292 -0.3317
65 1984.375 -0.1359
66 1984.458 -0.3402
67 1984.542 -0.3177
68 1984.625 -0.2542
69 1984.708 -0.2332
70 1984.792 -0.3202
71 1984.875 -0.3944
72 1984.958 -0.5112
73 1985.042 -0.2419
74 1985.125 -0.4467
75 1985.208 -0.2902
76 1985.292 -0.3309
77 1985.375 -0.2817
78 1985.458 -0.2934
79 1985.542 -0.3869
80 1985.625 -0.2714
81 1985.708 -0.3007
82 1985.792 -0.3032
83 1985.875 -0.3454
84 1985.958 -0.2667
85 1986.042 -0.1712
86 1986.125 -0.1279
87 1986.208 -0.1937
88 1986.292 -0.2017
89 1986.375 -0.2137
90 1986.458 -0.2719
91 1986.542 -0.3017
92 1986.625 -0.2844
93 1986.708 -0.3244
94 1986.792 -0.2587
95 1986.875 -0.3079
96 1986.958 -0.2689
97 1987.042 -0.1447
98 1987.125 -0.0069
99 1987.208 -0.2597
100 1987.292 -0.1947
101 1987.375 -0.1572
102 1987.458 -0.1199
103 1987.542 -0.0072
104 1987.625 -0.1107
105 1987.708 -0.0467
106 1987.792 -0.1119
107 1987.875 -0.1387
108 1987.958  0.0428
109 1988.042  0.0991
110 1988.125 -0.0499
111 1988.208  0.0131
112 1988.292 -0.0282
113 1988.375 -0.0384
114 1988.458 -0.0342
115 1988.542 -0.1074
116 1988.625 -0.0774
117 1988.708 -0.0779
118 1988.792 -0.1072
119 1988.875 -0.2787
120 1988.958 -0.1259
121 1989.042 -0.3119
122 1989.125 -0.1299
123 1989.208 -0.1362
124 1989.292 -0.1744
125 1989.375 -0.2357
126 1989.458 -0.2344
127 1989.542 -0.1122
128 1989.625 -0.1067
129 1989.708 -0.0979
130 1989.792 -0.1227
131 1989.875 -0.2349
132 1989.958 -0.0592
133 1990.042 -0.0697
134 1990.125 -0.0454
135 1990.208  0.2758
136 1990.292  0.0931
137 1990.375  0.0088
138 1990.458 -0.0324
139 1990.542 -0.0249
140 1990.625 -0.0964
141 1990.708 -0.1369
142 1990.792  0.0136
143 1990.875  0.0163
144 1990.958 -0.0317
145 1991.042 -0.0254
146 1991.125  0.0178
147 1991.208 -0.0939
148 1991.292  0.0811
149 1991.375 -0.0214
150 1991.458  0.0571
151 1991.542  0.0488
152 1991.625 -0.0227
153 1991.708 -0.0087
154 1991.792 -0.1174
155 1991.875 -0.1207
156 1991.958 -0.1319
157 1992.042  0.0281
158 1992.125 -0.0199
159 1992.208 -0.0172
160 1992.292 -0.1732
161 1992.375 -0.1139
162 1992.458 -0.1654
163 1992.542 -0.3144
164 1992.625 -0.3104
165 1992.708 -0.3964
166 1992.792 -0.3444
167 1992.875 -0.3807
168 1992.958 -0.2079
169 1993.042 -0.0437
170 1993.125 -0.0612
171 1993.208 -0.0657
172 1993.292 -0.1607
173 1993.375 -0.1277
174 1993.458 -0.1474
175 1993.542 -0.1767
176 1993.625 -0.2482
177 1993.708 -0.2624
178 1993.792 -0.1919
179 1993.875 -0.3377
180 1993.958 -0.2037
181 1994.042 -0.1542
182 1994.125 -0.3744
183 1994.208 -0.1207
184 1994.292 -0.0694
185 1994.375 -0.0757
186 1994.458 -0.0109
187 1994.542 -0.1192
188 1994.625 -0.1572
