Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
10,0.07,0.82,0.17,0.75,0.06,0.65,0.10,1.00,0.09,1.00,0.05,0.82,0.07,0.98,,10,0.11,1.20,0.12,0.80,-0.09,0.18,,10,-0.03,0.71,0.52,1.13,-0.33,0.78
30,-0.32,0.55,-0.16,0.47,-0.31,0.44,0.00,0.86,-0.01,0.86,-0.33,0.55,-0.32,0.79,,30,-0.50,1.03,-0.01,0.86,-0.09,0.29,,30,-0.32,0.94,-0.09,0.95,-0.59,0.64
50,-0.41,0.44,-0.20,0.39,-0.26,0.36,-0.10,0.77,-0.13,0.77,-0.41,0.44,-0.39,0.64,,50,-0.79,0.81,-0.10,0.82,0.44,0.44,,50,-0.46,0.88,-0.46,0.70,-0.40,0.54
70,-0.50,0.40,-0.29,0.33,-0.48,0.32,-0.18,0.72,-0.19,0.72,-0.51,0.40,-0.50,0.57,,70,-0.82,0.77,-0.13,0.75,-0.05,0.36,,70,-0.43,0.78,-0.57,0.65,-0.61,0.54
90,-0.48,0.35,-0.30,0.31,-0.48,0.29,-0.21,0.68,-0.22,0.68,-0.49,0.35,-0.48,0.50,,90,-0.85,0.72,-0.16,0.69,-0.05,0.41,,90,-0.35,0.71,-0.59,0.59,-0.61,0.49
110,-0.42,0.30,-0.29,0.28,-0.38,0.25,-0.21,0.63,-0.22,0.63,-0.42,0.30,-0.42,0.44,,110,-0.82,0.68,-0.17,0.64,0.02,0.47,,110,-0.27,0.65,-0.61,0.53,-0.48,0.41
