Year,fossil fuel and cement emissions,land-use change emissions,atmospheric growth,ocean sink,land sink
1959,2.454,1.4727759,2.0352,0.895188116,0.996387784
1960,2.569,1.4606345,1.5052,0.894196554,1.630237946
1961,2.58,1.530231,1.6536,0.756510866,1.700120134
1962,2.686,1.5198038,1.1872,0.825073024,2.193530776
1963,2.833,1.5262845,1.2084,1.013559989,2.137324511
1964,2.995,1.5173337,1.0388,1.280658165,2.192875535
1965,3.13,1.5484721,2.332,1.511215042,0.835257058
1966,3.288,1.5508256,2.332,1.478787213,1.028038387
1967,3.393,1.594899,1.2932,1.204558715,2.490140285
1968,3.566,1.5460563,2.0988,1.198475983,1.814780317
1969,3.78,1.5427741,2.7984,1.279398718,1.244975382
1970,4.053,1.5310014,2.3956,1.173413427,2.014987973
1971,4.208,1.4047031,1.5476,1.29785248,2.76725062
1972,4.376,1.3261336,3.1164,1.594697328,0.991036272
1973,4.614,1.3175873,3.0952,1.540566895,1.295820405
1974,4.623,1.2897675,1.4416,1.473629907,2.997537593
1975,4.596,1.3024158,2.6076,1.540479914,1.750335886
1976,4.864,1.3194059,2.0564,1.644063174,2.482942726
1977,5.026,1.3512792,4.0704,1.726824558,0.580054642
1978,5.087,1.2985151,2.7348,1.699557229,1.951157871
1979,5.369,1.2515593,4.5368,1.516598954,0.567160346
1980,5.313,1.2433824,3.6464,1.81042043,1.09956197
1981,5.151,1.2520549,2.438,1.8218537,2.1432012
1982,5.111,1.2573836,2.12,1.911230122,2.337153478
1983,5.093,1.4321564,3.8584,2.109532379,0.557224021
1984,5.278,1.46034,2.65,1.989899825,2.098440175
1985,5.438,1.4988356,3.4768,1.991990259,1.468045341
1986,5.606,1.529187,2.1836,2.015269073,2.936317927
1987,5.75,1.5147715,5.7452,2.008528121,-0.488956621
1988,5.963,1.5141773,4.77,1.868088093,0.839089207
1989,6.094,1.5312021,2.8832,1.984607379,2.757394721
1990,6.121,1.4442218,2.4804,2.040496768,3.044325032
1991,6.198,1.6358689,1.6112,2.146530289,4.076138611
1992,6.136,1.6820379,1.4628,2.41358008,3.94165782
1993,6.133,1.5457908,2.5864,2.424692028,2.667698772
1994,6.241,1.5028061,3.5616,2.198248261,1.983957839
1995,6.374,1.4851806,4.0916,2.095361018,1.672219582
1996,6.524,1.4693037,2.2896,2.040919437,3.662784263
1997,6.624,2.186349014,4.1764,2.145374979,2.488574035
1998,6.61,1.543669114,6.0208,2.300996471,-0.168127357
1999,6.597,1.305998314,2.8408,2.193800668,2.868397646
2000,6.763,1.200967714,2.6288,2.13439811,3.200769604
2001,6.929,0.957576814,3.8584,1.991830484,2.03634633
2002,6.992,1.068361314,5.0456,2.307086474,0.70767484
2003,7.405,0.900853414,4.77,2.422880513,1.112972901
2004,7.784,1.033941614,3.4132,2.298355583,3.106386031
2005,8.076,1.020393214,5.1516,2.318755565,1.626037649
2006,8.363,1.091338314,3.6464,2.481697517,3.326240797
2007,8.532,0.968984014,4.4732,2.496970684,2.530813331
2008,8.74,0.665290414,3.7312,2.483226175,3.190864239
2009,8.7,0.756763314,3.5828,2.543703401,3.330259913
2010,9.14,0.883931214,5.0668,2.521552538,2.435578676
2011,9.449,0.912458414,3.6252,2.657337869,4.078920546
2012,9.575025506,0.972458414,5.0244,2.799398481,2.723685439
2013,9.735033958,0.922458414,5.3848,2.806276703,2.466415669
2014,9.795211382,1.092458414,3.8796,2.929083029,4.078986767
